Estado civil,Migración,Sexo,Edad en la matrícula,Extranjero,Necesidades educativas especiales,Moroso,Pago de matrícula en día,Becado,Tasa de desempleo,Tasa de inflación,PIB,Curso,Período,Calificación previa,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (evaluaciones),disciplinas 1º semestre (aprobadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sin evaluaciones),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (evaluaciones),disciplinas 2º semestre (aprobadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sin evaluaciones),Target
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,12.7,3.7,-1.7,Enfermería,Diurno,Educación secundaria,0,8,8,7.0,3.3,0,0,8,8,7.0,3.3,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,12.7,3.7,-1.7,Educación Básica,Diurno,Educación secundaria,0,6,6,0.0,0.0,0,0,6,0,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,21,No,No,No,Sí,Sí,8.9,1.4,3.51,Turismo,Diurno,Curso técnico superior profissional,0,6,7,6.0,2.6,0,0,6,8,5.0,2.8,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,10.8,1.4,1.74,Enfermería Veterinaria,Diurno,Educación secundaria,0,5,7,4.0,3.3,0,0,5,5,5.0,3.0,0,Graduado
Soltero,Sí,Femenino,20,No,No,No,Sí,No,15.5,2.8,-4.06,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,5.0,3.3,0,0,6,7,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,18,No,No,No,Sí,No,10.8,1.4,1.74,Servicio Social,Diurno,Educación secundaria,0,6,10,1.0,3.0,0,0,6,14,2.0,2.8,0,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,15.5,2.8,-4.06,Enfermería,Diurno,Educación secundaria,0,7,8,7.0,3.3,0,0,8,8,8.0,3.6,0,Graduado
Soltero,Sí,Femenino,20,No,No,No,Sí,No,10.8,1.4,1.74,Zootecnia,Diurno,Educación secundaria,0,5,8,4.0,3.1,1,0,5,8,4.0,3.1,2,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,16.2,0.3,-0.92,Educación Básica,Diurno,Educación secundaria,0,7,7,6.0,2.9,0,0,7,8,6.0,3.4,0,Matriculado
Soltero,No,Femenino,21,No,No,No,Sí,Sí,11.1,0.6,2.02,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Graduado
Soltero,Sí,Femenino,20,No,No,No,Sí,No,12.7,3.7,-1.7,Odontología,Diurno,Educación secundaria,0,7,14,7.0,2.9,0,0,8,9,8.0,2.9,0,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,12.7,3.7,-1.7,Enfermería,Diurno,Educación secundaria,0,8,12,7.0,3.2,0,0,8,12,7.0,3.2,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,Sí,11.1,0.6,2.02,Gestión de Publicidad y Marketing,Diurno,Educación secundaria,0,6,8,6.0,3.3,0,0,6,7,6.0,3.1,0,Graduado
Soltero,No,Femenino,19,No,No,No,Sí,No,11.1,0.6,2.02,Enfermería,Diurno,Educación secundaria,0,7,8,6.0,3.3,0,0,8,9,7.0,3.5,0,Graduado
Soltero,Sí,Femenino,18,No,No,Sí,Sí,Sí,7.6,2.6,0.32,Servicio Social,Diurno,Educación secundaria,0,6,8,5.0,2.9,0,0,6,12,4.0,2.8,0,Matriculado
Soltero,Sí,Femenino,21,No,No,No,Sí,No,16.2,0.3,-0.92,Servicio Social,Diurno,Educación secundaria,0,6,9,6.0,2.8,0,0,6,9,6.0,3.3,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,9.4,-0.8,-3.12,Enfermería Veterinaria,Diurno,Educación secundaria,0,5,9,5.0,3.2,2,0,5,7,4.0,3.2,0,Matriculado
Soltero,Sí,Femenino,20,No,No,No,Sí,No,16.2,0.3,-0.92,Gestión,Diurno,Educación secundaria,0,5,6,5.0,3.0,0,0,5,6,5.0,3.1,0,Graduado
Soltero,Sí,Masculino,19,No,No,No,Sí,No,16.2,0.3,-0.92,Enfermería,Diurno,Educación secundaria,0,7,9,6.0,3.2,0,0,7,7,6.0,3.4,0,Matriculado
Soltero,No,Masculino,21,No,No,No,Sí,No,16.2,0.3,-0.92,Agronomía,Diurno,Curso de especialización tecnológica,0,6,15,5.0,3.0,0,0,6,17,5.0,2.6,0,Matriculado
Soltero,Sí,Masculino,20,No,No,No,Sí,No,8.9,1.4,3.51,Diseño de Comunicación,Diurno,Educación secundaria,2,6,7,6.0,3.2,0,0,6,9,4.0,3.4,0,Graduado
Soltero,No,Masculino,18,No,No,No,No,No,8.9,1.4,3.51,Gestión,Diurno,Educación secundaria,0,5,9,3.0,2.8,0,0,5,8,2.0,3.4,0,Matriculado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,12.4,0.5,1.79,Servicio Social (nocturno),Nocturno,Educación secundaria,0,6,6,6.0,3.2,0,0,6,8,6.0,3.6,0,Graduado
Soltero,No,Masculino,34,No,No,No,Sí,No,13.9,-0.3,0.79,Gestión (nocturno),Nocturno,Educación secundaria,0,5,6,5.0,3.1,0,0,5,9,5.0,3.4,0,Graduado
Soltero,No,Masculino,37,No,No,Sí,No,No,8.9,1.4,3.51,Tecnologías de Producción de Biocombustibles,Diurno,Educación secundaria,0,7,7,0.0,0.0,0,0,7,7,1.0,2.5,0,Desertor
Soltero,Sí,Masculino,43,No,No,No,Sí,No,7.6,2.6,0.32,Ingeniería de Sistemas,Diurno,11º de escolaridade - No concluído,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,Desertor
Soltero,No,Femenino,55,No,No,No,Sí,No,16.2,0.3,-0.92,Gestión,Diurno,Educación secundaria,0,5,10,1.0,2.5,0,0,5,8,2.0,3.0,2,Desertor
Divorciado,Sí,Femenino,39,No,No,No,Sí,No,7.6,2.6,0.32,Gestión (nocturno),Nocturno,Educación secundaria,0,5,8,5.0,2.8,0,0,5,5,5.0,2.9,0,Graduado
Soltero,No,Femenino,20,Sí,No,Sí,No,No,12.4,0.5,1.79,Zootecnia,Diurno,Curso de especialización tecnológica,2,6,13,3.0,2.9,0,1,6,11,3.0,3.0,0,Desertor
Soltero,No,Femenino,18,No,No,Sí,Sí,No,12.7,3.7,-1.7,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,4.0,3.2,0,0,5,5,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,22,No,No,No,Sí,No,8.9,1.4,3.51,Gestión,Diurno,Educación secundaria,0,5,5,5.0,3.7,0,0,5,5,5.0,4.0,0,Graduado
Soltero,Sí,Femenino,22,No,Sí,No,Sí,No,11.1,0.6,2.02,Enfermería,Diurno,Educación secundaria,0,7,9,5.0,3.5,0,0,8,9,7.0,3.6,0,Graduado
Soltero,No,Femenino,20,No,No,No,No,No,12.4,0.5,1.79,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,7,4.0,3.2,0,0,6,7,5.0,3.4,0,Desertor
Soltero,No,Femenino,29,No,No,No,Sí,No,16.2,0.3,-0.92,Gestión (nocturno),Nocturno,Educación secundaria,0,5,0,0.0,0.0,0,0,5,0,0.0,0.0,0,Desertor
Soltero,No,Femenino,24,No,No,No,Sí,No,7.6,2.6,0.32,Gestión (nocturno),Nocturno,Educación secundaria,0,5,9,2.0,2.9,0,0,5,11,3.0,3.6,1,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,11.1,0.6,2.02,Servicio Social,Diurno,Educación secundaria,0,6,6,6.0,2.9,0,0,6,8,5.0,3.3,0,Graduado
Soltero,Sí,Femenino,22,No,No,No,Sí,Sí,11.1,0.6,2.02,Enfermería,Diurno,Educación secundaria,0,7,8,6.0,3.4,0,0,8,9,7.0,3.4,0,Graduado
Soltero,No,Femenino,21,No,No,No,Sí,Sí,12.4,0.5,1.79,Servicio Social (nocturno),Nocturno,Curso de especialización tecnológica,3,6,6,6.0,2.9,0,2,6,7,6.0,3.3,0,Graduado
Soltero,No,Femenino,19,No,No,No,Sí,Sí,12.7,3.7,-1.7,Servicio Social,Diurno,Educación secundaria,0,6,7,5.0,3.1,0,0,6,7,6.0,3.2,0,Graduado
Soltero,No,Femenino,24,No,No,No,Sí,Sí,12.4,0.5,1.79,Turismo,Diurno,Educación secundaria,0,6,6,6.0,3.4,0,0,6,6,6.0,3.5,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Enfermería,Diurno,Educación secundaria,0,8,10,6.0,3.0,0,0,8,10,6.0,3.0,0,Matriculado
Soltero,Sí,Femenino,20,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,11,4.0,3.5,0,0,6,12,3.0,2.8,0,Matriculado
Soltero,No,Femenino,19,No,No,No,Sí,No,7.6,2.6,0.32,Zootecnia,Diurno,Educación secundaria,0,5,7,5.0,3.7,0,0,5,5,5.0,4.0,0,Graduado
Soltero,No,Femenino,27,No,No,No,Sí,No,9.4,-0.8,-3.12,Gestión (nocturno),Nocturno,Educación secundaria,0,5,12,5.0,2.6,0,0,5,10,5.0,2.8,0,Desertor
Soltero,Sí,Femenino,18,No,No,No,Sí,No,15.5,2.8,-4.06,Enfermería,Diurno,Educación secundaria,0,7,9,7.0,3.3,0,0,8,10,8.0,3.4,0,Graduado
Casado,No,Femenino,39,No,No,No,Sí,No,12.4,0.5,1.79,Turismo,Diurno,Educación superior - licenciatura,0,6,10,0.0,0.0,0,0,6,6,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,27,No,No,No,Sí,No,12.4,0.5,1.79,Zootecnia,Diurno,Educación superior - licenciatura (1º ciclo),0,6,9,5.0,3.2,0,5,11,13,10.0,3.2,0,Desertor
Soltero,Sí,Femenino,18,No,No,No,Sí,No,9.4,-0.8,-3.12,Enfermería,Diurno,Educación secundaria,0,8,8,8.0,3.7,0,0,8,8,8.0,3.7,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,7.6,2.6,0.32,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Matriculado
Soltero,No,Femenino,18,No,No,No,Sí,No,16.2,0.3,-0.92,Enfermería,Diurno,Educación secundaria,0,7,8,6.0,3.3,0,0,8,12,7.0,3.1,0,Graduado
Soltero,No,Femenino,21,No,No,No,Sí,Sí,13.9,-0.3,0.79,Servicio Social,Diurno,Curso de especialización tecnológica,3,6,7,6.0,3.0,0,2,6,7,6.0,3.0,0,Graduado
Soltero,Sí,Masculino,19,No,No,No,Sí,Sí,10.8,1.4,1.74,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Matriculado
Soltero,Sí,Masculino,19,No,No,No,Sí,No,10.8,1.4,1.74,Diseño de Comunicación,Diurno,Educación secundaria,0,6,6,5.0,2.8,0,0,6,8,1.0,2.5,0,Matriculado
Soltero,No,Masculino,24,No,No,No,Sí,No,12.7,3.7,-1.7,Diseño de Comunicación,Diurno,Educación secundaria,0,6,6,0.0,0.0,0,0,6,6,0.0,0.0,0,Matriculado
Divorciado,Sí,Masculino,29,No,No,No,Sí,No,13.9,-0.3,0.79,Enfermería,Diurno,Educación básica 3º ciclo (9º/10º/11º) o equivalente,2,7,10,5.0,3.0,0,1,8,10,5.0,2.8,0,Desertor
Soltero,Sí,Masculino,19,No,No,No,Sí,Sí,10.8,1.4,1.74,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Graduado
Soltero,Sí,Masculino,23,No,No,No,Sí,No,8.9,1.4,3.51,Agronomía,Diurno,Curso de especialización tecnológica,0,6,8,6.0,3.1,0,0,6,7,6.0,3.1,0,Graduado
Soltero,No,Masculino,19,No,No,Sí,Sí,No,16.2,0.3,-0.92,Gestión,Diurno,Educación secundaria,0,5,8,5.0,2.8,0,0,5,10,4.0,2.7,3,Desertor
Soltero,No,Masculino,26,No,No,No,Sí,No,12.7,3.7,-1.7,Turismo,Diurno,Educación secundaria,0,6,7,6.0,3.0,0,0,6,8,5.0,2.7,0,Matriculado
Soltero,No,Masculino,18,No,No,No,Sí,No,7.6,2.6,0.32,Gestión,Diurno,Educación secundaria,0,5,9,0.0,0.0,0,0,5,5,0.0,0.0,0,Matriculado
Soltero,No,Masculino,24,No,No,No,Sí,No,13.9,-0.3,0.79,Enfermería,Diurno,Educación secundaria,0,7,8,7.0,3.0,0,0,8,8,8.0,3.4,0,Graduado
Soltero,Sí,Masculino,19,No,No,No,Sí,No,15.5,2.8,-4.06,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Desertor
Soltero,Sí,Masculino,18,No,No,No,Sí,No,12.4,0.5,1.79,Turismo,Diurno,Educación secundaria,0,6,12,3.0,2.9,0,0,6,12,1.0,3.0,0,Desertor
Soltero,Sí,Masculino,18,No,No,No,Sí,No,10.8,1.4,1.74,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,8,6.0,3.1,0,0,6,11,3.0,3.1,0,Graduado
Soltero,Sí,Masculino,18,No,No,Sí,Sí,No,10.8,1.4,1.74,Gestión,Diurno,Educación secundaria,0,5,8,3.0,2.6,0,0,5,11,3.0,2.7,0,Desertor
Soltero,Sí,Masculino,21,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Turismo,Diurno,Educación secundaria,0,6,8,4.0,2.6,0,0,6,11,1.0,2.8,0,Desertor
Soltero,Sí,Masculino,19,No,No,Sí,Sí,Sí,8.9,1.4,3.51,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,6.0,3.4,0,0,6,6,6.0,3.3,0,Graduado
Soltero,No,Masculino,22,No,No,No,Sí,Sí,16.2,0.3,-0.92,Enfermería,Diurno,Educación secundaria,0,7,7,7.0,3.7,0,0,8,9,8.0,3.8,0,Graduado
Casado,No,Masculino,33,No,No,No,Sí,No,10.8,1.4,1.74,Servicio Social (nocturno),Nocturno,Educación secundaria,0,6,8,6.0,3.0,0,0,6,6,6.0,2.9,0,Graduado
Soltero,Sí,Masculino,20,No,No,No,Sí,No,10.8,1.4,1.74,Educación Básica,Diurno,Educación secundaria,0,6,8,5.0,3.0,0,0,6,7,5.0,3.0,0,Desertor
Soltero,Sí,Masculino,35,No,No,No,Sí,No,10.8,1.4,1.74,Gestión (nocturno),Nocturno,Educación superior - bachiller,0,1,1,0.0,0.0,1,0,5,0,0.0,0.0,0,Desertor
Soltero,No,Masculino,24,No,No,Sí,Sí,No,12.4,0.5,1.79,Agronomía,Diurno,Educación superior - mestrado,6,12,17,6.0,3.0,0,7,12,14,10.0,3.3,0,Desertor
Soltero,No,Masculino,18,No,No,No,Sí,No,12.7,3.7,-1.7,Turismo,Diurno,Educación secundaria,0,5,6,5.0,3.0,0,0,5,8,3.0,2.8,0,Matriculado
Casado,Sí,Femenino,33,No,No,No,Sí,No,9.4,-0.8,-3.12,Servicio Social (nocturno),Nocturno,Educación secundaria,0,6,7,6.0,2.8,0,0,6,11,5.0,2.8,0,Graduado
Soltero,Sí,Femenino,22,No,No,No,Sí,Sí,10.8,1.4,1.74,Enfermería,Diurno,Educación secundaria,0,8,8,7.0,3.3,0,0,8,8,7.0,3.3,0,Graduado
Soltero,No,Femenino,25,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Gestión de Publicidad y Marketing,Diurno,Educación secundaria,0,5,7,4.0,2.6,0,0,5,7,5.0,2.9,0,Graduado
Soltero,Sí,Masculino,20,No,No,No,Sí,No,7.6,2.6,0.32,Diseño de Comunicación,Diurno,Educación secundaria,0,6,9,6.0,2.7,1,0,6,6,5.0,2.8,0,Graduado
Soltero,Sí,Masculino,23,No,No,No,Sí,No,11.1,0.6,2.02,Gestión,Diurno,Educación secundaria,0,5,6,4.0,3.5,0,0,5,5,5.0,3.4,0,Matriculado
Soltero,Sí,Masculino,18,No,No,Sí,Sí,No,15.5,2.8,-4.06,Ingeniería de Sistemas,Diurno,Educación secundaria,0,5,9,2.0,2.5,0,0,5,9,0.0,0.0,0,Matriculado
Soltero,No,Masculino,24,No,No,No,Sí,No,13.9,-0.3,0.79,Enfermería,Diurno,Educación secundaria,0,7,18,0.0,0.0,0,0,7,7,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,21,Sí,No,No,No,No,8.9,1.4,3.51,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,6.0,3.5,0,0,6,6,6.0,3.4,0,Graduado
Soltero,No,Femenino,26,Sí,No,No,Sí,No,8.9,1.4,3.51,Zootecnia,Diurno,Educación secundaria,0,6,7,2.0,3.0,1,0,6,6,0.0,0.0,0,Desertor
Casado,No,Femenino,39,No,No,No,Sí,No,7.6,2.6,0.32,Educación Básica,Diurno,11º de escolaridade - No concluído,0,6,12,3.0,3.2,0,0,6,14,0.0,0.0,1,Desertor
Casado,No,Femenino,44,No,No,No,Sí,No,12.7,3.7,-1.7,Servicio Social (nocturno),Nocturno,Educación secundaria,2,8,11,8.0,3.0,0,0,6,7,6.0,3.1,0,Graduado
Soltero,Sí,Masculino,19,Sí,No,No,Sí,No,13.9,-0.3,0.79,Ingeniería de Sistemas,Diurno,Educación secundaria,0,5,9,5.0,3.5,0,0,5,11,3.0,3.3,0,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,8.9,1.4,3.51,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,6.0,3.4,0,0,6,6,6.0,3.3,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,12.4,0.5,1.79,Enfermería,Diurno,Educación secundaria,0,7,7,7.0,3.4,0,0,8,9,8.0,3.6,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,12.7,3.7,-1.7,Enfermería Veterinaria,Diurno,Educación secundaria,0,5,7,5.0,3.6,2,0,5,7,5.0,3.4,0,Matriculado
Soltero,Sí,Femenino,19,No,No,Sí,No,No,13.9,-0.3,0.79,Enfermería,Diurno,Educación secundaria,0,7,10,4.0,3.0,0,0,7,7,0.0,0.0,0,Desertor
Soltero,No,Femenino,21,No,No,No,Sí,No,8.9,1.4,3.51,Enfermería Veterinaria,Diurno,Curso técnico superior profissional,7,10,12,8.0,3.2,0,4,9,14,5.0,3.4,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,16.2,0.3,-0.92,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Graduado
Casado,Sí,Femenino,36,No,No,No,Sí,No,9.4,-0.8,-3.12,Servicio Social (nocturno),Nocturno,Educación secundaria,0,6,0,0.0,0.0,0,0,6,0,0.0,0.0,0,Desertor
Divorciado,No,Femenino,43,No,No,No,Sí,No,15.5,2.8,-4.06,Agronomía,Diurno,Otro - 11º de escolaridade,13,18,19,18.0,3.7,0,10,13,14,13.0,3.6,1,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,11.1,0.6,2.02,Educación Básica,Diurno,Educación secundaria,0,6,0,0.0,0.0,0,0,6,0,0.0,0.0,0,Desertor
Soltero,No,Femenino,20,No,No,Sí,Sí,No,11.1,0.6,2.02,Diseño de Comunicación,Diurno,Educación secundaria,4,10,12,10.0,3.2,0,5,11,11,11.0,3.1,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,16.2,0.3,-0.92,Servicio Social,Diurno,Educación secundaria,0,6,0,0.0,0.0,0,0,6,0,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,15.5,2.8,-4.06,Enfermería Veterinaria,Diurno,Educación secundaria,0,6,15,4.0,3.6,0,0,6,17,4.0,3.3,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,12.4,0.5,1.79,Enfermería,Diurno,Educación secundaria,2,7,9,6.0,3.3,0,0,7,10,5.0,3.1,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,16.2,0.3,-0.92,Educación Básica,Diurno,Educación secundaria,0,7,12,6.0,2.9,0,0,7,10,3.0,3.2,0,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,13.9,-0.3,0.79,Servicio Social,Diurno,Educación secundaria,0,6,8,6.0,3.5,0,0,6,6,6.0,3.8,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,8.9,1.4,3.51,Gestión,Diurno,Educación secundaria,0,5,9,3.0,3.2,0,0,5,11,3.0,2.8,0,Matriculado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,10.8,1.4,1.74,Enfermería Veterinaria,Diurno,Educación secundaria,0,5,6,5.0,3.4,0,0,5,5,5.0,3.2,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,10.8,1.4,1.74,Periodismo y Comunicación,Diurno,Educación secundaria,0,6,6,6.0,3.2,0,0,6,7,6.0,3.1,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,7.6,2.6,0.32,Enfermería,Diurno,Educación secundaria,0,7,7,6.0,3.1,1,0,7,7,6.0,3.1,1,Desertor
Soltero,No,Femenino,20,No,No,No,Sí,No,13.9,-0.3,0.79,Enfermería,Diurno,Educación secundaria,0,7,11,6.0,2.9,0,0,7,7,7.0,3.2,0,Matriculado
Soltero,Sí,Femenino,20,No,No,No,Sí,Sí,7.6,2.6,0.32,Servicio Social,Diurno,Educación secundaria,0,6,13,2.0,2.5,0,0,6,12,4.0,2.7,0,Matriculado
Soltero,No,Femenino,20,No,No,No,Sí,No,12.4,0.5,1.79,Gestión,Diurno,Educación secundaria,0,5,11,3.0,2.6,0,0,5,10,3.0,2.7,0,Matriculado
Soltero,No,Femenino,18,No,No,No,Sí,No,9.4,-0.8,-3.12,Enfermería Veterinaria,Diurno,Educación secundaria,0,5,12,5.0,3.3,2,0,5,6,5.0,2.8,0,Graduado
Soltero,No,Femenino,18,No,No,No,Sí,No,11.1,0.6,2.02,Gestión,Diurno,Educación secundaria,0,5,5,5.0,3.2,0,0,5,5,5.0,3.5,0,Graduado
Soltero,Sí,Femenino,21,No,No,No,Sí,No,9.4,-0.8,-3.12,Turismo,Diurno,Educación secundaria,0,6,12,3.0,2.8,0,0,6,12,2.0,2.8,0,Desertor
Soltero,Sí,Femenino,19,No,No,No,Sí,No,16.2,0.3,-0.92,Gestión,Diurno,Educación secundaria,0,5,8,5.0,2.7,0,0,5,9,4.0,2.8,2,Graduado
Soltero,No,Femenino,19,No,No,No,Sí,No,10.8,1.4,1.74,Animación y Diseño Multimedia,Diurno,Educación secundaria,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,Desertor
Soltero,No,Femenino,19,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Gestión de Publicidad y Marketing,Diurno,Educación secundaria,0,5,5,5.0,3.2,0,0,5,5,5.0,3.6,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,15.5,2.8,-4.06,Enfermería Veterinaria,Diurno,Educación secundaria,0,6,15,6.0,3.5,0,0,6,13,6.0,3.0,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,13.9,-0.3,0.79,Odontología,Diurno,Educación secundaria,0,7,12,5.0,3.0,0,0,7,0,0.0,0.0,0,Desertor
Soltero,Sí,Femenino,20,No,No,No,Sí,No,12.4,0.5,1.79,Enfermería Veterinaria,Diurno,Curso de especialización tecnológica,1,6,7,6.0,3.5,0,1,6,17,5.0,3.4,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,9.4,-0.8,-3.12,Educación Básica,Diurno,Educación secundaria,0,6,8,5.0,3.2,0,0,6,7,5.0,3.4,0,Matriculado
Soltero,Sí,Femenino,18,No,No,No,Sí,No,12.4,0.5,1.79,Servicio Social,Diurno,Educación secundaria,0,6,7,6.0,3.2,0,0,6,6,6.0,3.4,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,12.4,0.5,1.79,Enfermería,Diurno,Educación secundaria,0,7,7,7.0,3.4,0,0,8,9,8.0,3.8,0,Graduado
Soltero,Sí,Femenino,18,No,No,No,Sí,Sí,13.9,-0.3,0.79,Enfermería,Diurno,Educación secundaria,0,7,9,7.0,3.3,0,0,8,9,7.0,3.4,0,Desertor
Soltero,Sí,Femenino,18,No,No,No,Sí,No,7.6,2.6,0.32,Diseño de Comunicación,Diurno,Educación secundaria,0,6,6,6.0,3.1,0,0,6,6,6.0,3.2,0,Graduado
Soltero,Sí,Femenino,19,No,No,No,Sí,No,8.9,1.4,3.51,Gestión,Diurno,Educación secundaria,0,5,7,5.0,3.1,0,0,5,5,5.0,3.6,0,Graduado
